text,label,clean_text,target,adj_text
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operating profit increased eur mn eur mn net sale totaled eur mn eur mn,1,finnish operating increased eur net totaled eur
"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain seppl sale increased eur mn operating profit rose eur mn eur mn,1,clothing retail seppl increased eur rose eur mn
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidated net sale increased reach eur operating profit amounted eur compared loss eur prior year period,1,consolidated net increased amounted eur compared prior
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundry division report sale increased eur mn eur mn corresponding period sale machine shop division increased eur mn eur mn corresponding period,1,foundry increased eur corresponding increased corresponding
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said,1,closed higher led announced sanyo nokian fourthquarter beat said
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,1,manufacturing pvt ltd double
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,board director propose dividend eur per share eur per share paid,1,propose paid
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive,lifetree founded revenue risen average margin late,1,founded risen average late
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive,filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki today,1,filippova trilateral signed russian opened helsinki
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,1,megafon subscriber increased user amounted late late according
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period,1,net doubled net rose eur mn corresponding
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sale increased eur eur pretax profit rose eur eur usd,1,net increased eur eur pretax rose eur
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,net sale surged eur teleste said eur sale came acquisition made,1,net surged eur said eur came made
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group operating profit increased percent yearonyear billion euro total revenue percent billion euro,1,operating increased percent yearonyear total
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operating profit ninemonth period increased eur net sale increased eur compared corresponding period,1,ninemonth increased eur net increased compared corresponding
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,operating profit ninemonth period increased eur net sale increased eur compared corresponding period,1,ninemonth increased eur net increased compared corresponding
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,operating profit threemonth period increased eur revenue increased eur compared corresponding period,1,threemonth increased eur increased compared corresponding
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",positive,brazilian unit finnish security solution provider fsecure signed new client last year online news source reseller web quoted division commercial director vladimir brando saying,1,brazilian finnish signed new last online quoted commercial saying
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,company net profit rose year million euro sale million euro year company said earlier,1,rose euro said earlier
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,lithuanian beer market made million liter january rise percent yearearlier figure lithuanian brewer association reporting citing result member,1,lithuanian made january yearearlier lithuanian reporting citing
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,viking line cargo revenue increased eur mn cargo volume increased cargo unit,1,viking increased eur increased
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur million,1,fair doubled kapiteeli totalled
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,february finnish medium company sanoma oyj hel saa v said yesterday net profit almost tripled eur eur announced proposal raised payout,1,february finnish said tripled eur announced raised
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,helsinki eliiv today reported eps eur increase eps eur,1,reported eps eur eur
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo plc stock exchange release february esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw material baltic sea,1,february shipping ltd signed new longterm rautaruukki raw baltic
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increased eur mn lending volume rose,1,increased eur rose
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,january traffic measured revenue passenger kilometre rpk went capacity measured available seat kilometre ask rose,1,january measured kilometre rpk went measured available rose
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,januaryseptember fiskars net profit went yearonyear eur million net sale eur million eur million,1,net went yearonyear eur net
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net income life insurance rose eur mn eur mn net income nonlife insurance eur mn eur mn,1,net rose eur mn net
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,nyrstar also agreed supply talvivaara tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,1,agreed sulphuric leaching process
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",positive,sale department store division hobby hall increased sale clothing store subsidiary seppala decreased,1,increased decreased
Sales have risen in other export markets .,positive,sale risen export market,1,risen
Sales increased due to growing market rates and increased operations .,positive,sale increased due growing market rate increased operation,1,increased due growing increased
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthens longterm partnership nokia siemens network,1,strengthens longterm siemens
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",positive,agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system,1,signed ukbased oyj finnish public develops liquid handling diagnostic
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,company also estimate already carried investment lead increase net sale reached eur million,1,estimate carried lead net reached
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,company order book stood bln euro bln september pct year international order amounting mln euro mln,1,stood bln pct international amounting
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,company said paper demand increased main market including publication paper increased average paper price percent compared last year,1,said increased main including publication increased average compared last
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second largest stainless steel maker said net profit threemonth period dec surged euro million u million euro u per share euro million euro per share previous year,1,second largest said net threemonth surged euro u euro u euro previous
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive,within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,1,siemens signed initial largest microelectronic
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,seppala revenue increased eur finland revenue went eur sale abroad rose eur sale increased baltic country well russia ukraine,1,seppala increased eur went eur rose eur increased baltic russia ukraine
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard chartered stan rose ftse royal bank scotland rb share rose barclays share barc bcs,1,chartered rose ftse royal rose barc
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,1,nokia rose thursday said thirdquarter doubled global increased
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report published friday seb said net profit soared sek bn yearearlier sek bn proposed dividend increase sek per share,1,financial published friday said net soared sek yearearlier sek proposed
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sale department store division increased sale clothing store subsidiary seppala increased meanwhile sale hobby hall decreased,1,increased increased meanwhile decreased
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",positive,first contract envisaged construction three ferryboat option two unit confirmed total value mln euro mln,1,envisaged confirmed total
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,1,kesko signed acquires owned
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,positive,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur billion,1,december eur syndicated sponda signed syndicated total
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",positive,contract cover hdo platform ac cxe optical fttb node designed increase forward return path capacity transmission network,1,optical designed increase return
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,omx helsinki index pct helsinki cap portfolio index pct higher,1,helsinki pct higher
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,rinkuskiai raised sale percent million liter sale kauno alus grew percent liter,1,raised grew percent
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc said friday april signed agreement selling share morning digital design oy edita oyj,1,sell digital finnish said friday signed digital
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,1,becomes supplier disposable
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive,combination service enabling u offer complex strengthened service chain limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,1,enabling u strengthened limited baltic getting wide africa north say uwe
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,company still expects turnover slightly increase level adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,1,expects increase adding poor trustworthy manufacturing current
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coating market,1,increase kemira russian coating
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,januaryseptember finnlines net sale rose eur mn eur mn corresponding period,1,net rose eur mn corresponding
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted change group structure division net sale increased,1,adjusted net increased
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,1,optimize operational growing said julia
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",positive,would invest physical infrastructure would also provide knowhow managing developing science technology park said sunrise valley director andrius bagdonas,1,would invest physical would provide managing developing said sunrise andrius
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,february finnish broadband data communication system provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period,1,february finnish saw net last eur
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,1,finnish rose eur first first
Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,1,finnish consolidated net increased eur first first
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial group aktia report operating profit eur mn januaryseptember eur mn corresponding period,1,finnish financial aktia corresponding
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,1,finnish high net mn september february
Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company lnnen tehtaat continuing operation increased eur mn eur mn,1,net finnish lnnen continuing increased eur
An individual promotion also generated slightly higher-than-expected revenues .,positive,individual promotion also generated slightly higherthanexpected revenue,1,individual generated higherthanexpected
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expected expand result agreement,1,many current expected result
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover threemonth period increased respectively eur eur compared corresponding period,1,threemonth increased eur compared corresponding
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increased finland sweden,1,increased
Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain seppl net sale increased eur mn,1,seppl net increased
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate percent annually,1,grow
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,finnish swedish construction market still experiencing estimated annual growth,1,finnish swedish experiencing estimated annual
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimate total net sale continue grow favourable trend net sale lead profit,1,biohit estimate total net grow favourable net
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,fiskars cash flow operating activity amounted eur eur previous year,1,operating amounted eur previous
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania operating profit rose eur eur corresponding period,1,rose eur eur
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter net sale increased eur mn eur mn fourth quarter,1,fourth net increased eur fourth
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rose eur mn,1,international rose eur
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grew period x ac million u million x ac million,1,net grew ac u
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increased eur april june eur year earlier,1,net increased eur
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose yearonyear eur number charger delivered went million piece,1,net rose yearonyear eur delivered went
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale totaled eur mn eur mn corresponding period,1,net totaled eur corresponding
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",positive,nokia also noted average selling price handset declined period though mobile phone profit margin rose percent percent yearago quarter,1,noted average selling declined mobile rose percent
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increased eur mn eur mn,1,increased eur
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increased,1,increased
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rose eur mn eur mn corresponding period,1,rose eur mn corresponding
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operating profit rose eur mn eur mn fourth quarter,1,rose eur mn fourth
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit eur mn eur mn,1,
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,1,ramirent net quarterended u compared euro last
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grew percent x ac million million x ac million,1,grew percent
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,ruukki announced signed agreement aker solution norway supply suction anchor september kalajoki unit finland,1,announced signed supply september kalajoki
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew yearonyear eur ceo sakari tamminen said,1,ruukki showed favourable comparable net grew yearonyear said
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazine net sale estimated grow,1,sanoma net estimated
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive,bank forecast finland gdp grow,1,
"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",positive,circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reached individual day,1,overall weekly excess average tonne excess tonne reached individual
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidated operating profit amounted eur mn eur mn yearonyear,1,consolidated amounted eur
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division reported increase sale per cent,1,reported increase
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company investment property grew eur billion end march eur million year ago,1,fair grew eur end
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,last quarter best quarter net sale operating margin rose,1,last best net operating rose
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,major brewery increased domestic beer sale per cent last year million litre million litre,1,major increased domestic last
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,transaction double tecnomens workforse add fourth net sale,1,double workforse add fourth net
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,operating profit rose eur million,1,rose
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,purchase cramo become second largest rental service provider latvian market,1,cramo become second largest rental latvian
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive,priority strengthen company balance sheet increase cash flow ceo hannu krook said,1,strengthen said
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,purchase operation part yit strategy expand offering building system service geographically,1,expand offering
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,october finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur first nine month eur period year earlier,1,october finnish rapala said net rose eur first
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,according finnish metso mineral value company order gone eur bn month,1,according finnish gone eur
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,finnish aldata solution signed contract supply gold system two french retail chain,1,finnish signed french retail
Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank land report operating profit rose eur mn second quarter eur mn corresponding period,1,finnish rose eur mn second corresponding
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operating profit increased eur mn eur mn,1,finnish financial operating increased eur
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,1,finnish forest net grew eur first corresponding
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecranes raised net sale growth estimate,1,finnish raised net
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,finnish okmetic manufacture process silicon wafer semiconductor sensor industry norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystal use solar cell manufacturing,1,finnish okmetic norwegian solar signed okmetic solar
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive,finnish pharmaceutical company orion net sale rose eur mn first quarter eur mn first quarter,1,finnish pharmaceutical rose eur first first
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive,finnish ponsse signed agreement babcock africa distribution support ponsse forest machine harvester head information system south africa,1,finnish signed forest
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,south african sappi become largest foreign forest industry company operating finland result acquisition finnish mreal corporation graphic paper business unit,1,south african become largest foreign operating finnish graphic
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,according deputy md pekka silvennoinen aim double turnover next three year,1,according double
"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,according hkscan finland plan increase jrvisuomen portti net sale eur mn eur mn,1,according hkscan increase portti net
